cd_adj,caserate,deathrate,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
101,114.55296016742061,3.8218348635560293,39.61098074272731,4.217949698035318,82.13098675965782,64.23533896689752,20.103644081812668,0.6125144355615673,116,63.35434916029683,201,33.333333333333336,361,32,270,12421,NA,186,0.5405405405405406
102,114.55296016742061,3.8218348635560293,39.61098074272731,4.217949698035318,82.13098675965782,64.23533896689752,20.103644081812668,0.6125144355615673,86,100.66998797457481,202,19.788176850471928,268,31,307,8663,NA,138,0.5405405405405406
103,112.74892052001258,3.5788689610223345,38.08649633317106,3.8393495049841797,83.74197652229226,66.47054715597612,17.390035997026192,0.9427264580253955,121,77.71535580524345,203,28.672732361961298,602,55,350,14110,11.040413928121941,NA,0.68
104,120.78500707213578,4.038189533239038,42.26557119132943,8.088619290563612,82.73600840276497,62.02125030887077,23.120277773607647,0.7779349363507779,260,131.12256150129318,204,36.252019080154724,187,39,1960,33450,19.158496732026144,318,0.23863636363636365
105,112.39760554505357,3.2866471902388725,43.17175912192228,7.290544906310575,84.48870912892792,60.13608022569403,21.383924947525887,0.8807355215672796,246,122.73467620559553,205,25.365044204186695,282,35,1619,29142,NA,NA,0.6111111111111112
106,112.74892052001258,3.5788689610223345,38.08649633317106,3.8393495049841797,83.74197652229226,66.47054715597612,17.390035997026192,0.9427264580253955,133,143.75438479270372,206,14.781611934868263,417,39,411,14679,6.9105691056910565,43,0.68
107,136.4585856139501,3.307398885928796,40.534564898957576,7.482633145881574,77.18084966113763,63.204941044357106,24.39146984444456,0.7189997578106079,200,116.38473084256216,207,10.330188607283908,306,26,1720,36130,12.059601726779,33,0.31868131868131866
108,96.94555112881807,2.210336735250778,27.642549431127804,3.728663370954202,49.869897934689725,53.279675300106625,34.001422748162284,0.33655333005876037,36,40.124001310582955,208,10.671181761188276,135,26,962,16431,15.151515151515152,NA,0.2361111111111111
109,112.8170606925521,3.4627605148365554,32.2016485673165,4.55493208229847,82.30897335972502,57.736792747733666,28.247940951632337,0.4739081264473046,156,60.039717563989406,209,16.27740451571904,695,191,859,15899,26.41726618705036,NA,0.5930232558139535
110,125.41267917589536,3.6273977182498225,28.179413739975505,1.8826876412015732,57.83663861908498,53.2548125633232,37.67821349555646,0.3259643110869656,44,16.825164594001464,210,18.584606394523743,56,71,484,5639,22.847567317693287,NA,0.5110132158590308
111,111.80197738552705,3.0299921883013896,29.942417135170558,4.357941834451902,71.55607047261395,55.5202151031249,34.21508633223398,0.3235147909384296,63,38.99937849596022,211,15.782589739863399,57,83,753,13320,16.756225425950195,NA,0.64375
